sexe;enfant_conduite_accompagne;usage_vehicule;type_vehicule;est_rouge;age_vehicule;date_demande;etat_dossier;formule;tarif_devis;Id_Anonyme;Info Enfants;Revenus_Tranche
M;0;Private;Minivan;yes;18.0;16/11/2021 05:40;complet;dev_integral;280.62;0;"""Non""";"""60k+"""
M;0;Commercial;Minivan;yes;1.0;04/09/2020 14:49;complet;dev_integral;294.62;1;"""Non""";"""60k+"""
M;0;Private;Van;yes;10.0;12/01/2020 02:23;complet;dev_express;281.6;2;"""Non""";"""40_60k"""
F;0;Private;z_SUV;no;10.0;31/07/2020 07:49;complet;dev_premium;373.47;3;"""Oui""";"""0-20k"""
M;0;Private;Minivan;yes;6.0;24/02/2020 06:11;incomplet;dev_premium;380.4;4;"""Non""";Non renseigné
F;0;Private;z_SUV;no;17.0;26/11/2020 13:37;incomplet;dev_express;278.3;5;"""Non""";"""60k+"""
F;0;Commercial;Sports Car;no;7.0;25/02/2022 16:13;complet;dev_integral;323.39;6;"""Oui""";"""60k+"""
F;0;Private;z_SUV;no;1.0;25/02/2022 17:02;incomplet;dev_premium;354.37;7;"""Non""";"""0-20k"""
F;1;Private;Minivan;no;1.0;24/05/2022 21:07;complet;dev_express;257.56;8;"""Oui""";"""40_60k"""
F;0;Commercial;z_SUV;no;10.0;13/03/2020 14:18;complet;dev_integral;296.88;9;"""Oui""";"""40_60k"""
M;1;Commercial;Van;yes;7.0;01/07/2020 09:03;complet;dev_premium;324.08;10;"""Oui""";"""60k+"""
F;0;Private;z_SUV;no;1.0;31/10/2019 11:14;complet;dev_express;252.59;11;"""Non""";"""60k+"""
F;0;Commercial;Van;no;17.0;25/08/2019 02:30;complet;dev_integral;325.97;12;"""Non""";"""60k+"""
M;0;Private;Sports Car;no;11.0;15/12/2021 06:09;complet;dev_integral;326.5;13;"""Non""";"""60k+"""
F;0;Private;Minivan;no;1.0;11/08/2019 11:58;complet;dev_premium;449.74;14;"""Non""";"""40_60k"""
F;0;Commercial;Van;yes;9.0;10/07/2021 19:51;complet;dev_integral;310.81;15;"""Non""";"""40_60k"""
M;0;Commercial;Panel Truck;yes;10.0;15/06/2020 20:04;complet;dev_premium;504.97;16;"""Non""";"""60k+"""
F;0;Private;Pickup;no;4.0;24/01/2022 08:17;complet;dev_express;250.68;17;"""Oui""";"""20_40k"""
F;0;Private;z_SUV;no;5.0;20/04/2022 03:46;complet;dev_integral;300.3;18;"""Non""";"""0-20k"""
M;0;Private;z_SUV;no;13.0;05/10/2020 20:46;complet;dev_express;284.39;19;"""Oui""";"""40_60k"""
M;0;Private;Minivan;yes;1.0;30/04/2021 23:04;complet;dev_integral;283.58;20;"""Non""";"""60k+"""
F;0;Private;Minivan;no;16.0;27/08/2020 21:54;incomplet;dev_integral;320.56;21;"""Non""";"""40_60k"""
F;0;Private;z_SUV;no;20.0;27/11/2019 23:59;complet;dev_premium;490.76;22;"""Oui""";"""20_40k"""
F;0;Private;Minivan;no;7.0;02/05/2020 04:19;incomplet;dev_express;251.94;23;"""Oui""";"""0-20k"""
F;0;Commercial;z_SUV;no;1.0;11/08/2021 06:40;complet;dev_premium;548.41;24;"""Oui""";"""40_60k"""
F;0;Commercial;Panel Truck;yes;1.0;24/05/2021 23:05;complet;dev_integral;308.42;25;"""Non""";"""20_40k"""
F;0;Private;z_SUV;no;14.0;30/04/2019 09:12;complet;dev_premium;515.15;26;"""Non""";"""60k+"""
M;0;Private;Minivan;no;5.0;03/01/2021 04:30;complet;dev_premium;452.86;27;"""Non""";"""40_60k"""
